treshold,Average Precision,F1 (micro),F1 (macro),Method
0.05,0.5089912279845449,0.3149570966050357,0.20208331015817288,TripletProt
0.1,0.5089912279845449,0.3955303633939934,0.23303186089089808,TripletProt
0.15000000000000002,0.5089912279845449,0.43896558245083206,0.24039163518462905,TripletProt
0.2,0.5089912279845449,0.4626347544474513,0.23332193411558771,TripletProt
0.25,0.5089912279845449,0.47175916908054716,0.22020072354268314,TripletProt
0.3,0.5089912279845449,0.47105671699978424,0.20376296999192606,TripletProt
0.35000000000000003,0.5089912279845449,0.4625540632824949,0.18599356013001175,TripletProt
0.4,0.5089912279845449,0.44620203986488144,0.16689364351094466,TripletProt
0.45,0.5089912279845449,0.42407567539239577,0.1482168362587568,TripletProt
0.5,0.5089912279845449,0.3980841069645301,0.1309548006335288,TripletProt
