treshold,Average Precision,F1 (micro),F1 (macro),Method
0.05,0.6430801749852348,0.4291748673503447,0.05465673294948087,Kmers
0.1,0.6430801749852348,0.49876232185490615,0.05347376315227683,Kmers
0.15000000000000002,0.6430801749852348,0.5284342688330871,0.04951351138078506,Kmers
0.2,0.6430801749852348,0.5418221161020743,0.04647547257396406,Kmers
0.25,0.6430801749852348,0.5462157679705513,0.04380085574772533,Kmers
0.3,0.6430801749852348,0.5424600687314932,0.04103279420718943,Kmers
0.35000000000000003,0.6430801749852348,0.5365508100820365,0.03905803468815973,Kmers
0.4,0.6430801749852348,0.5236270753512132,0.035780160996462876,Kmers
0.45,0.6430801749852348,0.5069136115691995,0.033012817918368076,Kmers
0.5,0.6430801749852348,0.4851152368758002,0.03026641470110973,Kmers
