treshold,Average Precision,F1 (micro),F1 (macro),Method
0.05,0.42940313603660907,0.2660278772656092,0.05923706358240171,Kmers
0.1,0.42940313603660907,0.33139332437944585,0.05366697742966324,Kmers
0.15000000000000002,0.42940313603660907,0.3523043709520979,0.04679607494377812,Kmers
0.2,0.42940313603660907,0.3554061784897025,0.04192518817599007,Kmers
0.25,0.42940313603660907,0.35276590739796915,0.0374380157552932,Kmers
0.3,0.42940313603660907,0.3448275862068965,0.03491365636193558,Kmers
0.35000000000000003,0.42940313603660907,0.3295378432685867,0.03256106728214298,Kmers
0.4,0.42940313603660907,0.3163007940214853,0.03073250985920201,Kmers
0.45,0.42940313603660907,0.29667219674050943,0.028213114090008064,Kmers
0.5,0.42940313603660907,0.2767703373518387,0.025524446820985255,Kmers
