treshold,Average Precision,F1 (micro),F1 (macro),Method
0.05,0.6921620821753102,0.4406478435189201,0.13997567785124024,TripletProt
0.1,0.6921620821753102,0.5153375867442759,0.15399173732481622,TripletProt
0.15000000000000002,0.6921620821753102,0.5537950070913333,0.1471682825938679,TripletProt
0.2,0.6921620821753102,0.5753142664304396,0.13708669628369208,TripletProt
0.25,0.6921620821753102,0.5883388338833884,0.12868841192060707,TripletProt
0.3,0.6921620821753102,0.5926028099075844,0.1193089633962456,TripletProt
0.35000000000000003,0.6921620821753102,0.5898136854943853,0.10928008698817097,TripletProt
0.4,0.6921620821753102,0.5848401335394681,0.09842507428343542,TripletProt
0.45,0.6921620821753102,0.5762856735837408,0.08665318567655175,TripletProt
0.5,0.6921620821753102,0.55942130556668,0.0752121099385597,TripletProt
