treshold,Average Precision,F1 (micro),F1 (macro),Method
0.05,0.384130578846893,0.2736566595925174,0.12376926009776225,Unirep
0.1,0.384130578846893,0.3161959098396882,0.12996344162569023,Unirep
0.15000000000000002,0.384130578846893,0.33662876426288235,0.12817060815079306,Unirep
0.2,0.384130578846893,0.3469872571066136,0.12371286362219919,Unirep
0.25,0.384130578846893,0.35013789299503584,0.11850634189547296,Unirep
0.3,0.384130578846893,0.3465938730446837,0.11316675693327313,Unirep
0.35000000000000003,0.384130578846893,0.33929041549873784,0.10672266976949418,Unirep
0.4,0.384130578846893,0.3272841620946186,0.09812946948872082,Unirep
0.45,0.384130578846893,0.3131429172768808,0.09000027540362902,Unirep
0.5,0.384130578846893,0.2964085131540053,0.0826763745205312,Unirep
