treshold,Average Precision,F1 (micro),F1 (macro),Method
0.05,0.48043830362611545,0.32618542108987963,0.15001879785962727,Unirep
0.1,0.48043830362611545,0.38077625245987157,0.15626681436294507,Unirep
0.15000000000000002,0.48043830362611545,0.405656908499505,0.1583338573184363,Unirep
0.2,0.48043830362611545,0.41763208147676634,0.16015678709535222,Unirep
0.25,0.48043830362611545,0.4181837240993746,0.15471051503409478,Unirep
0.3,0.48043830362611545,0.4107142857142857,0.14310291207132972,Unirep
0.35000000000000003,0.48043830362611545,0.4018141311266709,0.13818156676356458,Unirep
0.4,0.48043830362611545,0.39060279240866147,0.12988219255360234,Unirep
0.45,0.48043830362611545,0.3806870129304715,0.12499084469854298,Unirep
0.5,0.48043830362611545,0.3657841140529532,0.11920330634897583,Unirep
