treshold,Average Precision,F1 (micro),F1 (macro),Method
0.05,0.46241347556088563,0.31890756302521,0.16616656375564295,DeepGO
0.1,0.46241347556088563,0.3631121342839901,0.17094993989627627,DeepGO
0.15000000000000002,0.46241347556088563,0.38495336468049024,0.168997765414247,DeepGO
0.2,0.46241347556088563,0.3989449203017755,0.16634161769133568,DeepGO
0.25,0.46241347556088563,0.41085342942499004,0.16542652355558266,DeepGO
0.3,0.46241347556088563,0.4143006672772471,0.15793209580592135,DeepGO
0.35000000000000003,0.46241347556088563,0.41390751365175915,0.15216428347421007,DeepGO
0.4,0.46241347556088563,0.41145265605697257,0.14935340723801943,DeepGO
0.45,0.46241347556088563,0.40671415580478937,0.14314082535171796,DeepGO
0.5,0.46241347556088563,0.4006950752339955,0.14078704579737697,DeepGO
