treshold,Average Precision,F1 (micro),F1 (macro),Method
0.05,0.40649887716258626,0.32200711558210743,0.1874232592514053,DeepGO
0.1,0.40649887716258626,0.36899862825788754,0.20412792945914546,DeepGO
0.15000000000000002,0.40649887716258626,0.3914988703721098,0.2096004901114703,DeepGO
0.2,0.40649887716258626,0.40306250663152193,0.20859807862199464,DeepGO
0.25,0.40649887716258626,0.4077430286956201,0.2055369341837332,DeepGO
0.3,0.40649887716258626,0.4085646839777904,0.20176641737114506,DeepGO
0.35000000000000003,0.40649887716258626,0.40502694019135355,0.19720339564299932,DeepGO
0.4,0.40649887716258626,0.39948974970562484,0.19276411571527713,DeepGO
0.45,0.40649887716258626,0.3887114801213476,0.18625778484739652,DeepGO
0.5,0.40649887716258626,0.37825999395831245,0.18033447728163488,DeepGO
