treshold,Average Precision,F1 (micro),F1 (macro),Method
0.05,0.6403669715242166,0.4389371787482798,0.08883076966440615,Unirep
0.1,0.6403669715242166,0.49071097328515745,0.08513080694779714,Unirep
0.15000000000000002,0.6403669715242166,0.519992970909149,0.08149214551731673,Unirep
0.2,0.6403669715242166,0.5348059018326194,0.07770217758977636,Unirep
0.25,0.6403669715242166,0.5411860697993547,0.07411860767372111,Unirep
0.3,0.6403669715242166,0.5464803129484381,0.07130577516505669,Unirep
0.35000000000000003,0.6403669715242166,0.5460043912341026,0.06750613537357138,Unirep
0.4,0.6403669715242166,0.5437419970918246,0.06560164869368076,Unirep
0.45,0.6403669715242166,0.5359812765570678,0.06119204658333966,Unirep
0.5,0.6403669715242166,0.5268485078882341,0.05862143985879552,Unirep
