treshold,Average Precision,F1 (micro),F1 (macro),Method
0.05,0.362192008866414,0.2693042453161971,0.10006354011387597,Kmers
0.1,0.362192008866414,0.3221301119745245,0.09468709061572458,Kmers
0.15000000000000002,0.362192008866414,0.33885995402503083,0.08439888710173643,Kmers
0.2,0.362192008866414,0.33889488793489425,0.07588770860663442,Kmers
0.25,0.362192008866414,0.3301720482895589,0.0694334593070003,Kmers
0.3,0.362192008866414,0.31568203160086555,0.06346485937744144,Kmers
0.35000000000000003,0.362192008866414,0.2963811672630484,0.057592773769366286,Kmers
0.4,0.362192008866414,0.2766914187546351,0.05283778517334347,Kmers
0.45,0.362192008866414,0.2553839159525998,0.04842293357601562,Kmers
0.5,0.362192008866414,0.23324579723330782,0.04419658964141837,Kmers
