treshold,Average Precision,F1 (micro),F1 (macro),Method
0.05,0.6353398658203006,0.4577911564707435,0.13415783946925366,DeepGO
0.1,0.6353398658203006,0.49877449263995294,0.13667744907579563,DeepGO
0.15000000000000002,0.6353398658203006,0.5190355329949239,0.13225005863421224,DeepGO
0.2,0.6353398658203006,0.5422479959065325,0.13280234820915693,DeepGO
0.25,0.6353398658203006,0.5521458913139007,0.131572681103292,DeepGO
0.3,0.6353398658203006,0.5565788451076398,0.12911003494318465,DeepGO
0.35000000000000003,0.6353398658203006,0.5556371648916636,0.1269971874551249,DeepGO
0.4,0.6353398658203006,0.5524949585961298,0.12493941090211955,DeepGO
0.45,0.6353398658203006,0.5472357978747254,0.1225181736784424,DeepGO
0.5,0.6353398658203006,0.5400220455451582,0.11895250580186834,DeepGO
